day,rule,regime,attendance,cbd_vc,vc_inner,vc_boundary,vc_peripheral,x_SH1N,x_SH1S,x_SH16,mean_fee
1,El Farol,tou,0.9353333333333333,0.19066197041191285,0.19066197041191285,0.44482771364905915,0.09660949869570545,1710,1216,1273,2.692
2,El Farol,tou,0.9253333333333333,0.17963525080557355,0.17963525080557355,0.4053485176674791,0.08818860172942328,1685,1252,1235,2.5144
3,El Farol,tou,0.9333333333333333,0.15473594100921478,0.15473594100921478,0.5647708341853698,0.0960852673555374,1812,1169,1505,2.5936
4,El Farol,tou,0.9226666666666666,0.5164001161717479,0.5164001161717479,0.20471389266453857,0.1177641838965594,1692,1092,1315,2.6096
5,El Farol,tou,0.9233333333333333,0.15423067871779833,0.15423067871779833,0.32487230793609884,0.11234639742156924,1599,1090,1496,2.512
6,El Farol,tou,0.9206666666666666,0.18195944667552186,0.18195944667552186,0.38735690553319896,0.08894565424711888,1780,1275,1400,2.524
7,El Farol,tou,0.936,0.19064974892660919,0.19064974892660919,0.3691793864708204,0.10608379686920323,1749,1226,1439,2.5528
8,El Farol,tou,0.924,0.24542377463109105,0.24542377463109105,0.3875022624797124,0.12516743705401373,1407,1193,1440,2.5496
9,El Farol,tou,0.926,0.23997925616154,0.23997925616154,0.3347902593762192,0.09837610764531109,1562,1183,1432,2.5296
10,El Farol,tou,0.928,0.3867732294329468,0.3867732294329468,0.7259525764616516,0.1143049806279035,1614,1269,1505,2.556
11,El Farol,tou,0.92,0.22502997234215036,0.22502997234215036,0.316266034257668,0.08777337043048793,1625,1310,1384,2.5328
12,El Farol,tou,0.924,0.2449901874516293,0.2449901874516293,0.3088676684521007,0.10344057758624209,1757,1175,1281,2.5152
13,El Farol,tou,0.926,0.2193072304734353,0.2193072304734353,0.25452045364750403,0.08998877373406676,1726,1205,1417,2.512
14,El Farol,tou,0.9226666666666666,0.20526569044455364,0.20526569044455364,0.4287411219519044,0.0977877899700079,1811,1228,1395,2.5016
