day,rule,regime,hour,vc_inner,vc_boundary,vc_peripheral,vcf_mwy,vcf_cbd,vcf_east,vcf_west,ef_mwy,ef_cbd,ef_east,ef_west,model_version
1,Q-Learning,No-Charge,0,0.0057273835453874765,0.006313983119357317,0.00435095216273654,0.17586544724109646,0.42164344662497244,0.4281670787872514,0.4951529664477254,0.21854447035173308,4.624440203419489,13.907270671325358,11.259080045717356,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,1,0.005292676763693809,0.007626531723001204,0.00500351090463239,0.1484828391593901,0.35844096250736596,0.34534475129387315,0.40827136670719355,0,4.225491102612929,4.250345752466042,10.525730153479927,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,2,0.004852997086357448,0.007094075545376607,0.004647878204715252,0.12300382688391025,0.34371894914178286,0.3318302335055842,0.3950003325663342,0,4.931110429181725,3.1349678638436718,9.232420597120655,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,3,0.005467632927150071,0.008001802920533884,0.005440204814706322,0.1254586218899383,0.32097635629734406,0.3540630806522259,0.3715265541979384,0,4.924731292936436,4.514257513895404,9.942465356173331,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,4,0.007809993036182378,0.01524184504044321,0.005994096977969443,0.20576506021007285,0.39763733619141517,0.3758975158028036,0.5061009732449963,1.0618875218337078,8.494439974754552,6.0677098713025055,16.64190512243408,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,5,0.017678136283793316,0.013159828971153876,0.005962050060870036,0.0926786055836476,0.2025098840241427,0.22850638765806564,0.261205945734204,0.09974319889616438,3.6115104736552266,2.772971026823052,4.894159355220997,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,6,0.0215078411610769,0.03162468137613787,0.01478489992663168,0.3471133573438424,0.6819751471633058,0.7409168013761595,0.9934280464796459,1.913037812775107,18.942228579622327,31.035045710120016,29.496539655310887,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,7,0.05458418023614626,0.0842976561165609,0.0325979403417551,0.8286897350662185,1.5391543377834807,1.6828908447507855,1.9393967008521293,37.79121463296717,72.22890508612294,72.7607615856859,68.1339302438003,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,8,0.07482939358176842,0.1396821550394849,0.04950487389893698,1.399080715582809,2.4871665162285845,2.7581931826530672,2.9619475571477136,89.02204781686098,90.61112051191026,91.81687244944015,87.2986832956186,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,9,0.08913382768528143,0.1327832962317287,0.04843305890540206,1.5973392981357448,3.2757954555158126,3.3882350235945147,3.5636910575679446,90.70740074411188,92.82830754282908,94.97766010856833,88.97349434588011,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,10,0.07843604007264854,0.09259960839778124,0.03315519259631954,1.4032870122751167,3.3355319293168693,3.2111816077096367,3.311157862454171,88.66674738827643,93.6700775765961,93.28564270923981,87.37871997900878,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,11,0.04582372255404077,0.04486044272975964,0.021759925872473603,1.123381496909286,2.7840752898156724,2.652051210432976,2.677572636989735,73.06290907926737,89.27584438917766,88.57037567414699,84.74841052427148,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,12,0.03181688807625435,0.03215752220142988,0.015763736371761077,0.8563166314055458,2.065935630802533,1.9410353963654836,2.074463985369847,36.98948282125198,81.92932767296331,80.88021198306515,78.04462324486015,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,13,0.030902847695380486,0.031283564974748816,0.015886547548234545,0.6575625576698771,1.5367347467958086,1.5416733418048414,1.535445636490496,8.607221444072481,76.79161223534528,75.41655424763299,71.9570307237411,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,14,0.03069198033496932,0.029417030839895754,0.014882052946231671,0.610339127627921,1.4261835682870938,1.3580187250247548,1.446459893113056,2.012070802794778,73.50289573412974,69.16813099618074,66.70395189710088,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,15,0.03590331095047959,0.040331145946954715,0.021051301120642966,0.6593946389910955,1.3319162675716705,1.3492776437922305,1.5071372423600675,2.493394135492684,69.35378335870176,69.3291485503822,66.38635149656527,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,16,0.04509681919768332,0.05798117727159185,0.028107231373491727,0.7845811515842391,1.8604592297882925,1.7313041175334563,1.8617748898227853,27.528548960974682,79.11490372955163,81.08139264152136,75.4746947671987,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,17,0.05132832565362986,0.07241782108645282,0.032743359202882245,0.9584136092706595,2.2413896880286477,2.0946585380233564,2.2957014516470102,64.6605543139807,86.8449746497228,90.7576660745233,83.83363721376566,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,18,0.04704840121513472,0.0481269949891808,0.028493285408586595,0.9822950178788253,2.3359097572024052,2.3153884859253777,2.3146996679330685,63.444727076479865,88.28011301626425,92.77350503787744,84.2174278367276,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,19,0.04009637643476762,0.03888493180735148,0.021279537589406632,0.8802766325490144,2.0303603650321387,1.9519292686951428,2.0821336298902415,42.93325690519624,80.7437040290523,88.76041486969987,83.89446911485604,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,20,0.013908681880058315,0.019964707711786933,0.013202935491613771,0.691173916017638,1.5507575104501523,1.462264458621087,1.5872879714623223,11.744561529139014,71.29182960469348,73.46612696683059,71.43364564043142,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,21,0.01506460367159043,0.01683474357480395,0.008307096145195383,0.47930238926261504,1.0251357230699336,1.0368054249551155,1.0517507075310246,2.470821857357703,54.576728449055686,51.74322268323189,52.14335323526911,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,22,0.014786482566215332,0.009854840552441896,0.007745948592872935,0.3354908195307994,0.739894196325151,0.7590482502996228,0.8227757334579548,1.802988215019296,29.43704443444301,32.5458666296685,32.9987586879699,v3-2026-07-30-trip-suppression-fix
1,Q-Learning,No-Charge,23,0.00587661178381898,0.011976016748463979,0.004996849408963638,0.22076196630557765,0.5348860037817784,0.5078626190992354,0.6468018757210889,1.097157079814551,10.79165780870316,17.54887812114789,18.76442925698353,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,0,0.01236378944740015,0.009250207017590058,0.0037710713478999176,0.18733440203055643,0.5352806857647574,0.39473781923316714,0.4722584032421482,0.46814985552059984,18.047366675419813,5.015842934565986,16.614387480802424,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,1,0.012295524665519496,0.0060755836993977965,0.004875945244322643,0.17334814929994735,0.48203765418584044,0.39700554379918646,0.4391770244537885,0,11.884861004792981,5.903468725430769,13.035822279387332,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,2,0.004283230487636209,0.0053680190086361134,0.003206791561827404,0.16002747683483173,0.3850297661341407,0.36149597660093247,0.3875287179662241,0,5.744200309472037,6.86833723051743,9.476644166406073,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,3,0.0036529279492940213,0.005945766289481662,0.002726689015192804,0.12395423470897078,0.30697456430556574,0.2828517496266154,0.3172934972322215,0,6.121481312687816,4.440807642478589,10.179316815722398,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,4,0.005364577418578103,0.005229475552437695,0.003749261564360321,0.12159884229459973,0.32095114445087397,0.30761496336544364,0.31734016294578143,0,4.880944026572502,5.261504199698305,8.885222190159315,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,5,0.00883596238101098,0.005750493064163059,0.00460714916659505,0.09319352143404737,0.32248838608102687,0.24223698698774893,0.24809790297778866,0,7.9765939478358465,1.8329925991734346,3.595677172242087,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,6,0.04806494862318405,0.026935570297832546,0.013072331276166868,0.3430032409286121,0.9745226819858347,0.6002286532062969,0.7990104083957562,1.590565457470532,42.66968453375267,25.19737333943725,32.79738977775361,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,7,0.07369466040106566,0.06192786699174615,0.03744171083166673,0.7825419120646012,1.971676374059327,1.5610767247291564,1.7826877001032368,27.28774259589695,78.41447945824784,68.59410583252327,72.10746184753835,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,8,0.13255405416703145,0.0936627090667763,0.05852239780059414,1.3032650704997968,3.2364916690041734,2.764943863631501,2.8374431289430895,87.28391080919475,91.2772090565756,93.18932704709704,86.80399996410951,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,9,0.16904677316482106,0.08306639913211997,0.05751458358487921,1.5406301923286756,3.7273595133089352,3.2737972738139356,3.284038545749632,91.056107605691,91.94207613562465,94.2038299717764,89.47131546290416,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,10,0.1520429166741421,0.08269933119131628,0.040907709047872484,1.3811101769528216,3.615135962543027,3.2122794911673807,3.00759914448645,86.51860443663114,95.39591240856005,96.74921456632237,86.50719492257296,v3-2026-07-30-trip-suppression-fix
2,Q-Learning,No-Charge,11,0.09567022842631098,0.04885950152409139,0.02251751114998718,1.0999546347195137,3.112689391435522,2.65201637044849,2.543886988617311,66.77982940044771,90.24626459314074,93.02318199380431,82.82113673436437,v3-2026-07-30-trip-suppression-fix
